MRC.MRC_208_Main_2_5_12#Real Energy Total#kWh,Timestamp
20960357.479,2023-07-09 00:15:00
20960382.92,2023-07-09 00:30:00
20960408.44,2023-07-09 00:45:00
20960433.491,2023-07-09 01:00:00
20960458.232,2023-07-09 01:15:00
20960483.432,2023-07-09 01:30:00
20960508.688,2023-07-09 01:45:00
20960534.026,2023-07-09 02:00:00
20960559.292,2023-07-09 02:15:00
20960584.35,2023-07-09 02:30:00
20960609.788,2023-07-09 02:45:00
20960634.903,2023-07-09 03:00:00
20960660.277,2023-07-09 03:15:00
20960685.716,2023-07-09 03:30:00
20960711.339,2023-07-09 03:45:00
20960736.563,2023-07-09 04:00:00
20960761.519,2023-07-09 04:15:00
20960786.299,2023-07-09 04:30:00
20960811.255,2023-07-09 04:45:00
20960835.867,2023-07-09 05:00:00
20960860.839,2023-07-09 05:15:00
20960886.596,2023-07-09 05:30:00
20960912.023,2023-07-09 05:45:00
20960936.781,2023-07-09 06:00:00
20960961.506,2023-07-09 06:15:00
20960986.369,2023-07-09 06:30:00
20961011.059,2023-07-09 06:45:00
20961035.973,2023-07-09 07:00:00
20961061.012,2023-07-09 07:15:00
20961086.003,2023-07-09 07:30:00
20961110.751,2023-07-09 07:45:00
20961135.999,2023-07-09 08:00:00
20961160.949,2023-07-09 08:15:00
20961186.102,2023-07-09 08:30:00
20961211.202,2023-07-09 08:45:00
20961236.306,2023-07-09 09:00:00
20961261.508,2023-07-09 09:15:00
20961286.267,2023-07-09 09:30:00
20961311.228,2023-07-09 09:45:00
20961336.246,2023-07-09 10:00:00
20961361.473,2023-07-09 10:15:00
20961387.253,2023-07-09 10:30:00
20961412.835,2023-07-09 10:45:00
20961438.128,2023-07-09 11:00:00
20961463.617,2023-07-09 11:15:00
20961489.357,2023-07-09 11:30:00
20961514.884,2023-07-09 11:45:00
20961540.01,2023-07-09 12:00:00
20961565.122,2023-07-09 12:15:00
20961590.079,2023-07-09 12:30:00
20961615.289,2023-07-09 12:45:00
20961641.046,2023-07-09 13:00:00
