Barton_Hall.Barton_Hall_208_Main#Real Energy Total#kWh,Timestamp
9394347.557,2023-07-06 00:15:00
9394358.088,2023-07-06 00:30:00
9394368.881,2023-07-06 00:45:00
9394379.445,2023-07-06 01:00:00
9394389.903,2023-07-06 01:15:00
9394400.348,2023-07-06 01:30:00
9394410.518,2023-07-06 01:45:00
9394420.528,2023-07-06 02:00:00
9394430.571,2023-07-06 02:15:00
9394440.192,2023-07-06 02:30:00
9394450.933,2023-07-06 02:45:00
9394460.588,2023-07-06 03:00:00
9394470.027,2023-07-06 03:15:00
9394479.494,2023-07-06 03:30:00
9394488.808,2023-07-06 03:45:00
9394498.135,2023-07-06 04:00:00
9394507.453,2023-07-06 04:15:00
9394516.6,2023-07-06 04:30:00
9394525.87,2023-07-06 04:45:00
9394534.989,2023-07-06 05:00:00
9394544.066,2023-07-06 05:15:00
9394552.656,2023-07-06 05:30:00
9394561.891,2023-07-06 05:45:00
9394570.249,2023-07-06 06:00:00
9394578.633,2023-07-06 06:15:00
9394586.991,2023-07-06 06:30:00
9394595.614,2023-07-06 06:45:00
9394603.967,2023-07-06 07:00:00
9394612.455,2023-07-06 07:15:00
9394621.022,2023-07-06 07:30:00
9394629.383,2023-07-06 07:45:00
9394637.847,2023-07-06 08:00:00
9394647.214,2023-07-06 08:15:00
9394655.678,2023-07-06 08:30:00
9394664.126,2023-07-06 08:45:00
9394672.593,2023-07-06 09:00:00
9394681.091,2023-07-06 09:15:00
9394689.773,2023-07-06 09:30:00
9394698.227,2023-07-06 09:45:00
9394706.746,2023-07-06 10:00:00
9394715.678,2023-07-06 10:15:00
9394724.166,2023-07-06 10:30:00
9394732.79,2023-07-06 10:45:00
9394741.403,2023-07-06 11:00:00
9394750.277,2023-07-06 11:15:00
9394759.796,2023-07-06 11:30:00
9394768.4,2023-07-06 11:45:00
9394777.066,2023-07-06 12:00:00
9394785.732,2023-07-06 12:15:00
9394794.395,2023-07-06 12:30:00
9394803.413,2023-07-06 12:45:00
9394812.302,2023-07-06 13:00:00
9394821.603,2023-07-06 13:15:00
9394830.815,2023-07-06 13:30:00
9394840.234,2023-07-06 13:45:00
9394849.686,2023-07-06 14:00:00
9394859.281,2023-07-06 14:15:00
9394868.494,2023-07-06 14:30:00
9394878.842,2023-07-06 14:45:00
9394888.42,2023-07-06 15:00:00
9394897.823,2023-07-06 15:15:00
9394907.148,2023-07-06 15:30:00
9394916.625,2023-07-06 15:45:00
9394926.121,2023-07-06 16:00:00
9394935.694,2023-07-06 16:15:00
9394945.287,2023-07-06 16:30:00
9394954.687,2023-07-06 16:45:00
9394963.961,2023-07-06 17:00:00
9394973.396,2023-07-06 17:15:00
9394982.773,2023-07-06 17:30:00
9394992.283,2023-07-06 17:45:00
9395002.694,2023-07-06 18:00:00
9395011.735,2023-07-06 18:15:00
9395021.053,2023-07-06 18:30:00
9395030.778,2023-07-06 18:45:00
9395040.515,2023-07-06 19:00:00
9395050.123,2023-07-06 19:15:00
9395059.547,2023-07-06 19:30:00
9395069.286,2023-07-06 19:45:00
9395079.003,2023-07-06 20:00:00
9395088.803,2023-07-06 20:15:00
9395098.743,2023-07-06 20:30:00
9395108.952,2023-07-06 20:45:00
9395120.28,2023-07-06 21:00:00
9395130.813,2023-07-06 21:15:00
9395141.327,2023-07-06 21:30:00
9395151.738,2023-07-06 21:45:00
9395162.518,2023-07-06 22:00:00
9395173.157,2023-07-06 22:15:00
9395183.831,2023-07-06 22:30:00
9395194.409,2023-07-06 22:45:00
9395205.133,2023-07-06 23:00:00
9395216.031,2023-07-06 23:15:00
9395226.721,2023-07-06 23:30:00
9395237.339,2023-07-06 23:45:00
9395247.93,2023-07-07 00:00:00
9395259.667,2023-07-07 00:15:00
9395270.329,2023-07-07 00:30:00
9395280.918,2023-07-07 00:45:00
9395291.388,2023-07-07 01:00:00
9395301.609,2023-07-07 01:15:00
9395311.816,2023-07-07 01:30:00
9395322.104,2023-07-07 01:45:00
9395332.202,2023-07-07 02:00:00
9395342.222,2023-07-07 02:15:00
9395352.164,2023-07-07 02:30:00
9395362.094,2023-07-07 02:45:00
9395371.958,2023-07-07 03:00:00
9395381.636,2023-07-07 03:15:00
9395391.993,2023-07-07 03:30:00
9395401.347,2023-07-07 03:45:00
9395410.587,2023-07-07 04:00:00
9395419.775,2023-07-07 04:15:00
9395429.044,2023-07-07 04:30:00
9395438.212,2023-07-07 04:45:00
9395447.324,2023-07-07 05:00:00
9395456.555,2023-07-07 05:15:00
9395465.172,2023-07-07 05:30:00
9395473.606,2023-07-07 05:45:00
9395482.055,2023-07-07 06:00:00
9395490.466,2023-07-07 06:15:00
9395499.452,2023-07-07 06:30:00
9395508.228,2023-07-07 06:45:00
9395516.761,2023-07-07 07:00:00
9395525.372,2023-07-07 07:15:00
9395533.778,2023-07-07 07:30:00
9395542.172,2023-07-07 07:45:00
9395550.676,2023-07-07 08:00:00
9395559.282,2023-07-07 08:15:00
9395568.109,2023-07-07 08:30:00
9395576.796,2023-07-07 08:45:00
9395585.374,2023-07-07 09:00:00
9395593.967,2023-07-07 09:15:00
9395603.423,2023-07-07 09:30:00
9395611.977,2023-07-07 09:45:00
9395620.66,2023-07-07 10:00:00
